osm_id,service_type,name,lat,lon
30361124,school,ЕСПУ Гео Милев,42.836859,22.652351
30361186,hospital,Общинска болница Др. Стамен Григоров,42.834715,22.65487
30793665,pharmacy,,42.835105,22.650397
166600942,pharmacy,,42.670824,23.395137
166601438,pharmacy,,42.664661,23.390172
254336319,clinic,18-ти ДКЦ - филиал металург,42.709896,23.381975
254336323,hospital,Здравен център Лечител,42.700216,23.331046
254336328,hospital,2-ри ДКЦ,42.691366,23.324067
254336342,clinic,Медицински център Д-р Й. С. Грийнберг,42.673835,23.368201
254336343,hospital,Медицински център,42.694409,23.28312
254336345,clinic,Национален център по наркомании,42.696007,23.224368
254336346,clinic,Център за рехабилитация Диел,42.68921,23.307165
254336347,hospital,Национален център по физикално лечение и рехабилитация,42.676759,23.269998
254336354,hospital,"МБАЛ ""Царица Йоанна"" - обслужване на дипломати и чужденци",42.700561,23.338996
254336368,clinic,Медицински център Лора,42.690745,23.31484
254336387,clinic,Областен кожновенерологичен диспансер,42.705671,23.333091
254336398,clinic,I Областен диспансер за пневмофтизиатрични заболявания,42.702772,23.324445
254336406,hospital,"ЦПЗ ""Проф. Н.Шипковенски""",42.70072,23.327229
254336408,hospital,Втора Акушеро - гинекологична болница Шейново,42.692645,23.340056
254336416,clinic,"Институтска СБАЛ по ендокринология, нефрология и геронтология",42.696407,23.313985
254336424,clinic,Център за хемодиализа на диабетно болни,42.696494,23.314214
254336433,hospital,IV Работническа болница,42.660728,23.417155
254336434,clinic,Национален център по хематология и трансфузиология,42.660486,23.35936
254336437,clinic,Клиника по ревматология,42.681348,23.299308
254336444,clinic,Областен диспансер за психични болести,42.705571,23.332999
254336447,hospital,Институтска СБАЛ по ортопедия Проф. Бойчо Бойчев,42.674457,23.247301
254336448,clinic,Медицински център Гургулят,42.687758,23.32269
254336452,hospital,IV МБАЛ,42.693111,23.311373
254336454,clinic,13-ти ДКЦ,42.676827,23.319212
254336457,clinic,18-ти ДКЦ,42.702025,23.369071
254336459,clinic,9-ти ДКЦ,42.721284,23.344485
254336462,clinic,Медицински център Доверие СБТ,42.665244,23.356242
254336465,hospital,17-ти ДКЦ,42.697127,23.347663
254336468,clinic,Bodimed,42.6964,23.317874
254336473,hospital,Републикански център по протезиране и възстановителна хирургия,42.676301,23.24864
254336484,clinic,Торакс 1,42.697851,23.313162
254336488,clinic,Медицински център Лора,42.696092,23.319885
254336489,hospital,Диагностичен център Пансанус,42.702495,23.304831
254336493,clinic,Областен диспансер по белодробни болести,42.705911,23.333494
254336499,hospital,Централна консултативна поликлиника,42.700623,23.339289
254336502,hospital,Областен диспансер за онкологични заболявания със стационар - София област ЕООД,42.712976,23.312742
254336503,clinic,Клиника Торакс-2,42.686832,23.322014
254336505,clinic,Медицински център Гургулят,42.694408,23.311626
254336506,clinic,Частна поликлиника Медива,42.71418,23.254708
254336523,clinic,Биочек,42.700207,23.323032
254336547,clinic,За детето,42.680141,23.328044
254336549,clinic,6-ти ДКЦ,42.706556,23.287667
254336552,clinic,Медицински център Анаста,42.674306,23.370035
254336554,hospital,"МБАЛ ""Вита"" ЕООД",42.696016,23.354393
254336555,clinic,Св. Пантелеймон,42.686737,23.314092
254336566,hospital,Медицинска лаборатория Сана,42.701302,23.306443
272865231,pharmacy,Марешки,42.505947,24.708365
272866807,pharmacy,,42.505574,24.706379
272866809,pharmacy,Панацея,42.504612,24.703094
287298542,pharmacy,Медея,41.98948,24.087331
296538160,hospital,,43.99644,22.877892
296538664,hospital,,43.997909,22.875694
297298184,pharmacy,,43.983876,22.8764
297488623,pharmacy,,43.999219,22.876887
297488858,pharmacy,,43.985907,22.875797
297488986,pharmacy,,43.986221,22.874941
297489019,pharmacy,,43.991422,22.875166
297489041,pharmacy,,43.998413,22.878171
297489050,pharmacy,,43.998413,22.874944
297489088,pharmacy,,43.996098,22.877845
297489197,pharmacy,,43.995653,22.87763
297489278,pharmacy,,43.992394,22.873947
297489531,pharmacy,,43.99306,22.876626
298252741,pharmacy,,43.023042,25.098756
298469072,pharmacy,,43.023078,25.103458
298493159,school,,43.022664,25.104926
298842129,hospital,МБАЛ Д-р Стойчо Христов,43.028848,25.089415
308744848,pharmacy,Боряна Шкутова,42.694772,23.311338
309209998,hospital,,43.030556,25.105186
330851783,pharmacy,,42.620963,25.397026
345400132,school,,42.752254,27.6929
345549805,pharmacy,,42.694596,27.707182
345712416,pharmacy,,42.688483,27.70299
347545293,pharmacy,Санита,43.21395,27.920009
348203948,pharmacy,Галантус,42.66299,23.376722
349083030,clinic,"Поликлиника ""Младост""",42.654073,23.377817
353723256,pharmacy,,42.698916,27.712023
356458702,pharmacy,,42.561835,27.523348
364103049,pharmacy,,42.562689,27.638314
366601028,school,СОУ Любен Каравелов,42.637368,24.360574
392870555,pharmacy,Виталика,42.872204,24.712662
429572266,hospital,св.Георги,42.558988,27.636992
457718660,pharmacy,,41.398505,23.209014
462182216,pharmacy,,42.669087,23.302434
462194741,pharmacy,SOpharmacy,42.672796,23.293898
475064365,pharmacy,Лек,42.716327,23.250818
475065908,pharmacy,,42.72679,23.25295
475561988,pharmacy,,43.3691,25.635822
484617129,hospital,Поликлиника,42.267588,27.75355
492916075,pharmacy,,42.506025,27.474884
493873252,kindergarten,Детска градина Звездица филиал,42.493178,27.474539
494933651,pharmacy,Живита,43.211987,27.905278
494997696,pharmacy,,43.248242,27.847039
494997727,pharmacy,,43.251158,27.849057
496634022,school,ПМГ Акад. Никола Обрешков,42.500174,27.47166
498672805,hospital,ДКЦ 1,41.930185,25.557505
504527255,school,"Средно училище ""Любен Каравелов""",42.658336,27.732153
506410857,pharmacy,,42.824191,27.881889
506410931,clinic,,42.825673,27.88129
516080681,pharmacy,,42.306041,23.859176
516080683,pharmacy,Държавна,42.309286,23.856922
519713625,pharmacy,,43.219494,27.889214
523140321,pharmacy,,43.246585,27.846559
523228998,pharmacy,Аптека Марешки,43.230865,27.878815
537959368,school,,43.033542,25.46705
546985068,hospital,АГ ЕВА,42.692301,26.343327
603760384,pharmacy,,42.50883,24.716107
619171666,pharmacy,Здравец,42.47282,26.522105
619171667,pharmacy,Диана,42.474634,26.52619
619174364,pharmacy,Бакалова,42.481094,26.514145
621620408,pharmacy,Божилов,42.481006,26.515495
634155513,pharmacy,Лили 11,42.482755,26.512041
675012547,pharmacy,Корект,42.680913,23.373453
675012552,pharmacy,Михаела,42.681239,23.372786
676477232,school,ОУ Христо Ботев,43.691177,23.813404
676833309,hospital,,43.692884,23.811905
676833991,pharmacy,,43.69253,23.811897
686250428,pharmacy,Мултифарм,42.482967,26.513197
688823998,pharmacy,Медика,42.712398,23.313013
703422211,clinic,,42.881042,25.317141
704463363,pharmacy,SOpharmacy,42.661155,23.373367
726669049,pharmacy,"Дрогерия ""Медидом""",42.662875,23.371274
731526172,pharmacy,,42.739817,23.343611
759944860,hospital,,41.880256,23.526144
759945272,pharmacy,,41.882425,23.525514
760336500,pharmacy,,43.218663,27.916255
796787980,school,"Частен професионален колеж по спорт ""Био фит""",42.662146,23.28707
810482875,pharmacy,Д-р Басанович,43.224191,27.923042
833764537,pharmacy,Св. Мина,42.73254,23.296262
837320400,school,"НЧ ""Димитър Динев"" - музикална школа",42.663513,23.30098
837321655,school,"НЧ ""Димитър Динев"" - езикова школа",42.665559,23.301499
837325659,clinic,"Медицински център ""Св.Николай Чудотворец""",42.736448,23.293732
842494322,pharmacy,Subra,42.682102,23.301239
842496915,pharmacy,Марешки,42.684915,23.297569
909520055,pharmacy,,42.699111,25.895107
1013273887,pharmacy,,42.719588,23.256539
1026806591,school,"Колеж по мениджмънт ""Адам Смит""",42.663153,23.252706
1026806604,school,Департамент за информация и усъвършенстване на учители към СУ,42.662961,23.252626
1077982949,clinic,,42.695293,24.448594
1088204536,clinic,Хелиос,43.214332,27.916156
1129942990,pharmacy,,42.137739,24.739517
1132538014,school,"ОУ ""Константин Костенечки""",42.263884,23.820855
1135397111,hospital,Онкологична болница-Марко Антонов,43.176094,27.901098
1154180270,pharmacy,,42.463492,27.416727
1154210276,pharmacy,Лавър 2,42.461848,27.414753
1159995111,pharmacy,,43.214699,27.912864
1168832505,pharmacy,Магифарм,42.288122,25.932629
1168832508,pharmacy,,42.292577,25.937358
1168832516,pharmacy,,42.291879,25.937959
1168832518,pharmacy,,42.291827,25.936126
1174857047,pharmacy,Найден 99 ЕООД,42.140725,24.794654
1174860418,pharmacy,Millenium,42.139536,24.756381
1198294912,school,"ОУ ""Г. С. Раковски""",42.065556,24.958056
1213631456,pharmacy,,42.198944,25.324452
1213631797,pharmacy,,42.200358,25.329453
1223343311,pharmacy,,41.574229,24.715971
1224505197,hospital,Стоматология,41.576609,24.707168
1227256529,pharmacy,Жийон,42.679453,23.361024
1238094135,pharmacy,Санита,43.206867,27.910534
1241959399,school,,43.530604,23.531581
1241959402,hospital,,43.53082,23.531404
1243235753,pharmacy,Марешки,43.199061,27.912773
1243236004,pharmacy,К-КРЕС,43.218083,27.91901
1248544887,pharmacy,Марешки,42.725202,23.25594
1250971649,pharmacy,Betty,42.698296,23.310258
1256618393,pharmacy,,41.885938,23.468001
1256618396,pharmacy,Елза,41.885104,23.467263
1257746754,kindergarten,ЦДГ 1-ви юни,43.697653,28.028704
1257746767,hospital,МБАЛ Бялата лястовица,43.703385,28.040356
1257746773,kindergarten,ОДЗ Радост,43.704673,28.034444
1261800403,school,ПГ по земеделие Кл. Тимирязев,43.438323,28.340577
1261800408,school,СОУ Стефан Караджа,43.435431,28.334126
1261800410,kindergarten,ЦДГ Детелина,43.427941,28.352328
1261800411,school,ПУ Л. Каравелов,43.434745,28.344651
1261800412,kindergarten,ЦДГ Радост,43.436993,28.328824
1261800416,school,ОУ Йордан Йовков,43.434636,28.333837
1263924816,hospital,Медицински център,43.673104,24.002342
1270802012,pharmacy,Марешки,43.214523,27.920033
1270803134,kindergarten,,43.216674,27.923831
1270803678,clinic,,43.217284,27.916118
1270803682,clinic,,43.209781,27.916017
1280284677,kindergarten,,42.290904,25.940601
1282778735,pharmacy,Asklepii,43.077276,25.611384
1286526345,pharmacy,Ремедиум,42.670274,23.357985
1301848374,kindergarten,Център за работа с деца,43.845064,25.979903
1305263040,hospital,"МБАЛ ""Живот плюс""",41.465473,25.646752
1308877892,pharmacy,,42.668004,23.394593
1308877997,pharmacy,,42.668479,23.393681
1311510077,pharmacy,Фрамар,42.424456,25.634712
1314544996,pharmacy,Санита,41.838643,23.488631
1314635138,pharmacy,Аптека Тренчева,41.83643,23.491627
1333933531,hospital,,42.817091,27.884391
1334698074,school,"ПГ по строителство, електротехника и услуги",42.916388,24.272046
1334698092,school,ПГ по горско стопанство и дървообработване Сава Младенов,42.916121,24.266919
1343912730,pharmacy,,42.684561,27.708883
1346737176,clinic,"Медицински център ""Св. Пантелеймон""",42.425069,25.636604
1347020544,pharmacy,Марешки,42.426244,25.637406
1347020572,pharmacy,Марешки,42.426676,25.639963
1347020589,pharmacy,Ивана,42.42844,25.625312
1347020649,pharmacy,Иглика,42.426804,25.640736
1347020674,clinic,"Очна клиника ""Трошев""",42.430401,25.624419
1347588887,clinic,"Медицински център ""Ритъм""",42.423762,25.628059
1350036981,pharmacy,,42.817776,27.882498
1350379920,pharmacy,Пълдин,42.140255,24.759784
1354594506,pharmacy,,42.71176,27.764554
1355261275,pharmacy,,42.18628,24.56829
1359071216,pharmacy,Аптека Марешки,42.191046,24.329118
1359827188,pharmacy,,42.70421,27.792639
1362663186,clinic,,42.704182,27.793176
1363130833,pharmacy,,42.592895,23.410624
1363138327,pharmacy,Фея,42.596389,23.412
1364800272,hospital,Здравна служба,42.26193,25.322567
1366535465,school,,42.616279,23.393372
1371096608,pharmacy,Галения,42.430098,25.62662
1371096616,pharmacy,Ковачеви,42.431151,25.62273
1371096620,pharmacy,Ремедия,42.429346,25.626787
1378846487,pharmacy,Ариана,42.426327,25.631911
1378846498,pharmacy,Ceiba,42.42575,25.628413
1378846529,pharmacy,Фрамар,42.426252,25.631344
1378846668,pharmacy,Марешки,42.426064,25.632601
1381797563,clinic,"МБАЛ ""Тримонцуим""",42.140313,24.751514
1381797567,pharmacy,Тримона,42.140236,24.751425
1389571402,pharmacy,,42.639008,24.357648
1389571403,clinic,,42.639096,24.357636
1391113319,pharmacy,Ленинград,42.158273,24.733503
1391113320,clinic,Луксор,42.158498,24.740855
1391113325,clinic,Хипократ-Н,42.158903,24.738588
1391113326,pharmacy,36.6 Маджаров,42.158885,24.738272
1399305740,pharmacy,Олияна Чорбаджиева ЕТ,42.70144,25.89933
1406557292,pharmacy,,42.566816,23.180572
1406557293,hospital,Здравен пункт,42.566705,23.180986
1410332883,pharmacy,,43.849956,25.991169
1410374734,pharmacy,"Денонощна аптека ""Оптима""",43.850774,25.990489
1418599640,pharmacy,,43.228468,28.011095
1418599641,pharmacy,,43.231347,28.012492
1445742534,hospital,,42.837797,27.575575
1447040187,pharmacy,,43.221032,25.747266
1455172200,clinic,д-р Румен Накев,43.570593,27.81772
1487707888,hospital,2-ро ДКЦ,42.147822,24.732854
1492797256,school,Езиков център WORDS,42.494172,27.472528
1494401507,pharmacy,Ани Фарма,43.223003,27.929092
1495236338,pharmacy,,42.208244,27.807261
1495236855,pharmacy,,42.208403,27.806102
1495236856,pharmacy,,42.209324,27.807379
1495351590,pharmacy,Аптека Манолова,43.221943,27.933911
1495351593,pharmacy,,43.220397,27.935009
1496406577,pharmacy,36.6,42.144807,24.75591
1532805592,pharmacy,Гален,43.569574,27.831973
1533904936,hospital,Стоматологична поликлиника,42.426666,25.632326
1533918234,hospital,Зъболекарски кабинет,42.423864,25.627654
1535579378,kindergarten,Bright Childcare and Development Centre,42.649094,23.288202
1540620082,pharmacy,,42.428686,25.638858
1546372522,pharmacy,,43.215162,27.940483
1547586382,pharmacy,SOpharmacy,42.126151,24.733533
1548499320,pharmacy,,42.124426,24.738759
1562644571,kindergarten,,41.46487,25.672453
1578474000,pharmacy,,42.029717,24.29863
1590858404,school,,41.570284,24.782809
1610109404,pharmacy,,42.724476,23.304525
1610109407,pharmacy,,42.726006,23.303314
1615898773,pharmacy,Аптека 36.6 Детски свят,42.12869,24.780317
1619368584,hospital,ДКЦ Свети Георги,42.139432,24.736981
1621916737,hospital,"Очна клиника ""Св.Николай Чудотворец""",43.217871,27.923394
1648106621,pharmacy,,43.21519,27.942008
1668155102,school,,44.134267,22.849514
1697418905,clinic,Полимед,42.700077,23.30703
1698680651,school,Prolet,42.159753,24.726214
1699374700,school,"СОУ ""Васил Левски""",42.015777,23.99006
1699374701,school,"ТИТ ""Алеко Константинов""",42.021853,23.988983
1699464850,pharmacy,ПроФарма,42.670032,23.302795
1699496539,clinic,Кожно-венерически заболявания ЕООД,42.664914,23.296706
1699496558,hospital,Институтска СБАЛ по белодробни болести Св. София,42.68158,23.306037
1699496559,hospital,СБАЛГАР - д-р Малинов ООД,42.675219,23.289437
1699496570,clinic,Медастра,42.68004,23.285331
1699496581,clinic,Д-р Чалашканов,42.67966,23.287357
1699496646,pharmacy,Вип фарма,42.671949,23.300376
1699496649,pharmacy,Ливай,42.672201,23.300044
1699498085,pharmacy,Медея,42.672735,23.299318
1699498121,pharmacy,,42.677579,23.3001
1699498135,clinic,Д-р Петър Самарев,42.676494,23.301361
1699545085,clinic,Медико-диагностична лаборатория Кандиларов,42.686325,23.316375
1699545115,clinic,Медицински център Панацея,42.68636,23.30727
1699545119,clinic,Медицински център Св. Георги,42.684232,23.303059
1699545133,clinic,Национален център за здравна информация,42.682465,23.302142
1699545166,hospital,УМБАЛ Св. Екатерина,42.684818,23.312586
1699849496,clinic,13-ти ДКЦ - детско отделение,42.671207,23.321535
1699935294,pharmacy,Ремедиум,42.69149,23.330126
1700083372,clinic,Детско-юношеска психиатрична клиника,42.660246,23.256405
1700085432,clinic,21-ви ДКЦ,42.682906,23.254791
1708836742,hospital,31 ДКЦ,42.802451,23.341984
1714020662,clinic,Специализирана болница за рехабилитация,42.599772,25.211378
1732006302,hospital,,42.295359,25.208888
1745952608,pharmacy,Орфей,42.691333,23.311368
1787626344,kindergarten,"Детска градина ""Осми март""",42.126655,24.734122
1798420765,pharmacy,Марешки,42.131325,24.74487
1798420766,kindergarten,Марина Бг,42.140408,24.74798
1800366732,hospital,СБАЛ на деца с онкохематологични заболявания,42.700691,23.33915
1800454401,hospital,СБАЛ Йоан Павел,42.712963,23.312764
1800456593,hospital,СОБАЛ Акад. Пашев,42.701905,23.369551
1800471516,hospital,СБАЛДБ Клинико-рехабилитационни отделения,42.709269,23.150103
1800513100,hospital,3-то ДКЦ,42.699588,23.328442
1809386949,pharmacy,,42.711545,27.766244
1820309741,pharmacy,,44.045081,26.615927
1824771598,school,ПМГ „Акад. С. А. Корольов“,42.018311,23.085565
1834036350,pharmacy,,42.819024,27.882466
1835888300,hospital,Бърза помощ,42.412677,27.697972
1839219155,pharmacy,Валенс,43.233891,27.872788
1845692983,pharmacy,Марешки,43.493109,24.07567
1845693149,pharmacy,Марешки,42.272857,24.942967
1846724420,hospital,,43.220313,25.746208
1870326743,clinic,Медицински Център Св. Николай,42.691099,27.709926
1871094910,hospital,,43.019853,23.212013
1882475184,kindergarten,,41.719992,24.995594
1886738988,pharmacy,,42.641735,27.678661
1890101261,pharmacy,,42.642867,27.676837
1890529026,pharmacy,,42.68988,27.711478
1896996319,hospital,,42.062532,25.580645
1948955074,kindergarten,,43.67481,23.988546
1973607452,pharmacy,,43.207117,27.897468
1977563601,pharmacy,Марешки,43.077284,25.612133
1979595747,pharmacy,Детелина,42.744019,23.279016
2013023118,pharmacy,Марешки,42.642828,24.802678
2031661421,pharmacy,Денонощен аптечен комплекс,42.159312,24.742693
2031661842,pharmacy,Марешки,42.161052,24.74155
2051580681,school,"ОУ ,,Панайот Волов""",43.246062,27.979951
2056679017,kindergarten,,43.343809,25.970224
2093879472,pharmacy,,42.698331,23.310014
2108679917,pharmacy,,43.343659,28.055048
2115928332,hospital,Олимед,43.210934,27.907071
2115928333,hospital,Хирургическа Болница Проф. Темелков,43.21094,27.907045
2136119222,pharmacy,,42.66225,27.719796
2136603751,pharmacy,Олифарм,42.649902,23.332122
2147630318,hospital,Торакс,42.150818,24.743227
2149261968,pharmacy,Марешки,42.127786,24.748196
2149261980,pharmacy,диа-фарм,42.130455,24.751206
2153135657,pharmacy,,42.642283,24.804789
2154437140,hospital,,42.770875,23.404052
2154570357,hospital,ЦСМП,42.706693,23.142207
2161080305,hospital,,42.82225,23.282223
2165107208,kindergarten,,42.537489,23.369726
2165121314,hospital,Медицински център,42.599424,23.169844
2165262358,kindergarten,ДГ №182 „Пчелица“,42.543258,23.494327
2165262638,hospital,Медицински център,42.543067,23.494166
2165315757,hospital,,42.772676,23.241861
2169261143,school,ПГ по туризъм сгр.2,42.33508,23.560983
2173340082,clinic,Здравна служба с.Лозен,42.602024,23.486802
2178166704,hospital,МЦ Св. Богородица - Възвестителка,42.632899,23.311854
2179925213,pharmacy,Ремедиум,42.683913,23.353744
2234176870,kindergarten,,42.731117,23.554433
2234739228,hospital,,42.576602,23.414238
2260219791,pharmacy,Марешки,42.679271,26.30971
2260219796,school,"ХГ ""Дамян Дамянов""",42.681487,26.318068
2260219807,pharmacy,,42.678674,26.31218
2260219815,pharmacy,,42.679449,26.311125
2268144357,hospital,,42.681101,23.465956
2268215670,hospital,,42.700169,23.492786
2268628990,pharmacy,,42.234623,27.772612
2269051274,pharmacy,АКВА,42.66142,27.716516
2269062022,pharmacy,Тилия,42.660557,27.715403
2279180781,pharmacy,,42.663906,27.716489
2286659155,pharmacy,,42.876795,27.886406
2298689350,pharmacy,,42.65845,27.735036
2299880856,pharmacy,,42.561203,27.638823
2313999604,pharmacy,Ceiba,43.080416,25.629952
2314150284,pharmacy,,43.078553,25.631093
2316945896,pharmacy,,43.078291,25.61807
2318912448,pharmacy,,43.071766,25.607219
2320564253,pharmacy,,43.076023,25.650804
2321778285,pharmacy,,43.069403,25.606884
2321806754,pharmacy,Фармвест,43.076142,25.624601
2321876840,pharmacy,,43.079458,25.604057
2331464665,school,Спортно училище Ген. Вл. Стойчев,42.673488,23.377534
2341134154,pharmacy,Марешки,43.225817,27.933577
2343004305,kindergarten,Детска ясла 12,42.679012,26.302481
2343347164,school,ЧПК по мениджмънт,42.689152,26.318524
2343347169,school,Медицински колеж,42.685166,26.319349
2343347171,school,"ПГ по текстил и облекло ""Добри Чинтулов""",42.689724,26.318678
2343485508,school,"НХГ ""Димитър Добрович""",42.678765,26.328004
2343485517,hospital,"МБАЛ Д-р ""Иван Селимински"" - инфекциозно отделение",42.681838,26.331008
2343485536,hospital,СБАЛ по белодробни болести,42.681798,26.331376
2349214003,clinic,Очна клиника Света Петка,43.08116,25.625669
2358048870,pharmacy,,42.688458,27.709201
2362564605,pharmacy,SOpharmacy,42.677189,23.292586
2375768766,pharmacy,Аптека Белите брези,42.677697,23.291885
2378121190,pharmacy,Арония 2001,42.689259,23.307159
2378127919,pharmacy,Марешки,42.687201,23.310427
2378131732,pharmacy,Мина,42.686721,23.309193
2378133018,pharmacy,SOpharmacy,42.686235,23.3074
2380757858,pharmacy,,43.278834,28.042383
2380757859,clinic,,43.278949,28.042372
2380757863,pharmacy,,43.288776,28.045212
2380757865,clinic,Медицински център,43.28987,28.038898
2380757866,pharmacy,,43.289994,28.03887
2380757868,pharmacy,,43.293517,28.04607
2380757869,clinic,,43.294873,28.042331
2382044463,clinic,Медицински център,43.274459,28.041149
2383951387,hospital,Спешна медицинска помощ,42.664357,23.600831
2383955343,kindergarten,ОДЗ Здравец,42.666274,23.603427
2387114181,pharmacy,Марешки,42.136459,24.756008
2389552500,pharmacy,Хаджолян,43.203327,27.911763
2392507461,kindergarten,ЦДГ с.Кутово,44.031324,22.969296
2392507492,pharmacy,"Аптека ""Плантафарм""",44.030252,22.96634
2392507501,hospital,Здравна служба Кутово,44.028415,22.952719
2397320862,pharmacy,,42.671204,23.599442
2402250403,pharmacy,Марешки,43.210503,27.903074
2407682126,hospital,,43.342423,23.847216
2408303769,pharmacy,,43.526198,26.521917
2408303831,pharmacy,,43.525572,26.52491
2408303839,pharmacy,,43.52523,26.526175
2413629580,clinic,VIP Clinic,42.674588,23.292147
2414316945,pharmacy,,42.266755,27.758533
2414591690,pharmacy,,42.266987,27.75566
2417964535,pharmacy,Марешки,42.657172,23.349116
2423030495,school,,42.574351,25.745169
2429063971,pharmacy,Живакова 2,41.932918,25.560785
2429063972,pharmacy,,41.9315,25.560259
2429063975,pharmacy,Гален 3,41.932883,25.560905
2429063976,pharmacy,Гален 1,41.933052,25.560433
2430288313,pharmacy,Асикон 2000,42.55836,27.63922
2435850570,kindergarten,,42.503658,24.187475
2455680329,hospital,ДКЦ 2,41.936452,25.554029
2466673230,pharmacy,,42.648609,23.262194
2468490750,pharmacy,,42.707785,27.72328
2472207092,hospital,Медицински Център за Репродуктивна Медицина,43.402786,24.615323
2473208581,pharmacy,Марешки,42.697124,23.335415
2473208582,pharmacy,Ремедиа,42.697496,23.335293
2473220793,pharmacy,Галантус,42.412109,27.70013
2496358959,pharmacy,Sopharmacy,42.50327,27.47481
2503345175,hospital,Здравен пункт,42.637216,23.945253
2508693676,pharmacy,,42.597811,25.206158
2530649415,pharmacy,,42.691887,23.356823
2531958176,pharmacy,Алба,42.690538,23.358694
2541115503,clinic,Логопед,42.694416,23.360734
2561477890,pharmacy,SOpharmacy,42.69082,23.363599
2566408730,pharmacy,Галантус,42.690294,23.363664
2566502080,kindergarten,,42.445875,27.489193
2571920695,hospital,,43.164966,27.938298
2572950105,school,,42.869373,27.890117
2573747595,pharmacy,,42.621022,25.397167
2574172062,pharmacy,,43.568994,27.827569
2575877535,pharmacy,,42.690311,23.36481
2576843338,pharmacy,Медея,42.669005,23.285518
2578803053,pharmacy,,42.620778,25.396528
2590524867,pharmacy,Си-фарма,42.734326,23.308784
2591882542,clinic,Здравна служба,42.351165,25.965518
2593185432,pharmacy,,43.832058,25.976633
2597211194,pharmacy,,42.236756,27.777679
2607234646,pharmacy,Аптека на УБ Александровска,42.683438,23.308356
2611595295,pharmacy,Асклепий,43.079387,25.628482
2611604586,pharmacy,Салвия,43.078671,25.627908
2619503923,school,"ПГ ""Христо Ботев""",41.381384,25.098616
2620855881,pharmacy,Лили,42.689096,23.31417
2626019625,kindergarten,Детски кът,43.847443,25.951388
2626936395,school,Маестро,43.205564,27.921683
2629134489,pharmacy,,42.63963,23.376276
2631205419,pharmacy,,43.53023,26.532879
2633708521,pharmacy,Астра-4,43.845591,25.97513
2637253005,pharmacy,Гален,42.720503,23.243132
2640112057,pharmacy,,42.6435,23.375741
2640142514,pharmacy,Бултихфарма,42.661008,23.372934
2642121572,clinic,Д-р Попова,42.668111,23.284603
2642211456,pharmacy,Нота Бене,42.651823,23.404686
2673150610,clinic,Клиника по хемодиализа към МБАЛ „Св. Марина“,43.228583,27.935583
2683339403,clinic,Медик Консулт,43.854881,25.963811
2683344359,pharmacy,Вива,43.854583,25.964384
2683346379,clinic,Касърова,43.854429,25.964577
2683350717,pharmacy,М-Фарма,43.854676,25.965242
2683357035,pharmacy,Медика-4,43.855815,25.967823
2683363282,pharmacy,,43.855078,25.969405
2683402244,hospital,Медикус,43.84991,25.959127
2683406918,pharmacy,Марешки,43.849694,25.956638
2691125675,pharmacy,Ceiba,42.696058,23.319748
2699929661,pharmacy,,43.561774,27.819058
2699939410,pharmacy,Здравен свят,43.566642,27.822801
2700005511,pharmacy,,43.564916,27.830185
2700005514,pharmacy,SOpharmacy,43.57121,27.831306
2700005516,pharmacy,,43.574646,27.842705
2700005517,pharmacy,Вива 1,43.567282,27.830465
2700062183,pharmacy,Аптека Райковски,43.577735,27.828826
2700199370,pharmacy,,43.563123,27.834834
2700231845,pharmacy,Марешки,43.570305,27.833894
2700342116,pharmacy,Милева,43.567069,27.832353
2700507015,pharmacy,,43.562278,27.826432
2700536650,pharmacy,Ремедия,43.566842,27.821099
2700536651,pharmacy,Янакиев,43.568093,27.82454
2700540832,pharmacy,Марешки,43.567081,27.828333
2700591543,pharmacy,,43.572372,27.83045
2717241283,pharmacy,SOpharmacy,43.208343,27.919096
2742300276,pharmacy,Мега фарма,42.694997,23.321374
2799412005,school,"ПГ по лека промишленост ""Васил Левски""",42.029255,24.303186
2816055503,hospital,,42.354323,24.730613
2819109241,pharmacy,SOpharmacy,42.676912,23.301719
2839488560,hospital,МБАЛ Св. Иван Рилски,43.116397,25.698779
2842808870,school,"Народно основно училище ""Йордже Димитровъ""",41.683835,23.826108
2842813017,school,Килийно училище - лето 1820,41.684251,23.82563
2868917107,pharmacy,,43.147825,23.92504
2872765252,pharmacy,,43.148702,23.925064
2878028387,kindergarten,"Целодневна детска градина ""Калина малина""",42.964925,23.342938
2902719305,school,"Езикова школа ""Панелиника""",42.691212,23.341456
2910162103,pharmacy,Betty,42.694009,23.315285
2911940870,school,"Езиков център ""Success""",42.689809,23.316902
2916121934,kindergarten,ДГ №159 „Олимпийче“,42.691299,23.320301
2921502420,pharmacy,Марешки,43.272875,26.938619
2934756729,school,Educational Centre,42.691502,23.323203
2934789706,pharmacy,Ремедиум,42.692056,23.324513
2939265250,pharmacy,АПТЕКА 6,42.668863,26.335248
2939277062,pharmacy,Авицена,42.675571,26.323939
2939277569,clinic,Център по хемодиализа,42.676207,26.323944
2939292943,clinic,КЛИНИКА РОСЕН МАНОЛОВ,42.679539,26.318364
2939308404,clinic,Клиника д-р Котов,42.679101,26.314945
2949129450,hospital,Св. Анна,42.692508,26.343841
2953703233,pharmacy,Медея,42.68573,23.297083
2953703933,clinic,Невровита,42.686867,23.298455
2985993005,pharmacy,Марешки,42.737071,23.301805
2989447448,school,"НУ ""Отец Паисий""",43.192341,27.706152
2994732806,pharmacy,Аптека - 31,42.131861,24.714025
